dataset_id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,latent_dim,type,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
40996,140.26105403900146,17.356510866623285,3.6515328884124756,2.447808925437269,0.05,cae,"{'ae__latent_dim': 0.05, 'ae__type': 'cae'}",0.8437901774235022,0.8427977542536322,0.8415977371105301,0.8427285562625548,0.000896396453571414,10
40996,99.66485579808553,7.634852334484123,0.20096214612325033,0.0057275727201942855,0.05,cvae,"{'ae__latent_dim': 0.05, 'ae__type': 'cvae'}",0.7565783834747578,0.7262246603522907,0.7670252432177602,0.7499427623482696,0.017305018373123898,16
40996,200.2404645284017,16.45740485196907,0.1871798038482666,0.0019809901843599416,0.1,cae,"{'ae__latent_dim': 0.1, 'ae__type': 'cae'}",0.8582754778434902,0.854540779153988,0.8559550850726438,0.856257114023374,0.0015395691368370716,9
40996,0.5722813606262207,0.02153017022156605,0.0,0.0,0.1,cvae,"{'ae__latent_dim': 0.1, 'ae__type': 'cvae'}",,,,,,20
40996,200.51475596427917,26.235055131249315,0.2010503609975179,0.02378489973034434,0.15000000000000002,cae,"{'ae__latent_dim': 0.15000000000000002, 'ae__type': 'cae'}",0.8665895260135424,0.8679552565036643,0.8686409805854369,0.8677285877008812,0.0008527017942020291,8
40996,0.6907698313395182,0.16071083613009463,0.0,0.0,0.15000000000000002,cvae,"{'ae__latent_dim': 0.15000000000000002, 'ae__type': 'cvae'}",,,,,,18
40996,244.36108287175497,46.462126722263854,0.20758295059204102,0.005599426107420812,0.2,cae,"{'ae__latent_dim': 0.2, 'ae__type': 'cae'}",0.8719036598954315,0.8703981485449792,0.8730981871169589,0.8717999985191232,0.0011047205780190365,7
40996,114.56237403551738,16.220294891840865,0.23305455843607584,0.011136908237176094,0.2,cvae,"{'ae__latent_dim': 0.2, 'ae__type': 'cvae'}",0.7778777749207165,0.7886684095487079,0.7880684009771568,0.7848715284821938,0.0049513933547699505,14
40996,197.78568863868713,30.643780112359956,0.20439513524373373,0.0041405091907197695,0.25,cae,"{'ae__latent_dim': 0.25, 'ae__type': 'cae'}",0.8772177937773207,0.8768696695667081,0.8769982428320404,0.8770285687253564,0.00014372974954805125,6
40996,136.07326618830362,25.039449181083096,0.21927738189697266,0.003028128183491541,0.25,cvae,"{'ae__latent_dim': 0.25, 'ae__type': 'cvae'}",0.7855489843147339,0.7875969656709382,0.7823683195474221,0.7851714231776982,0.0021512166139791124,13
40996,236.1678435007731,38.48559639639095,0.21373399098714194,0.005003172030099782,0.3,cae,"{'ae__latent_dim': 0.3, 'ae__type': 'cae'}",0.8785891831661953,0.8814983071186732,0.885355505078644,0.8818143317878375,0.002771363292600633,5
40996,141.62162804603577,43.571629491043346,0.22583961486816406,0.009590068636597712,0.3,cvae,"{'ae__latent_dim': 0.3, 'ae__type': 'cvae'}",0.7890203137053227,0.7711395877083959,0.7938113401620023,0.7846570805252403,0.009756380567513451,15
40996,245.00147445996603,30.323649714176426,0.2207339604695638,0.008364379258707417,0.35000000000000003,cae,"{'ae__latent_dim': 0.35000000000000003, 'ae__type': 'cae'}",0.882960486843233,0.8787982685466935,0.8877555393648481,0.883171431584925,0.0036598313613677522,4
40996,0.5895722707112631,0.017874236656549625,0.0,0.0,0.35000000000000003,cvae,"{'ae__latent_dim': 0.35000000000000003, 'ae__type': 'cvae'}",,,,,,17
40996,281.3733678658803,55.69261336762855,0.2214353879292806,0.005299099914754911,0.4,cae,"{'ae__latent_dim': 0.4, 'ae__type': 'cae'}",0.8858746892945916,0.8858269403848626,0.8870269575279647,0.8862428624024729,0.0005547815569873568,3
40996,0.5903133551279703,0.017884956668525895,0.0,0.0,0.4,cvae,"{'ae__latent_dim': 0.4, 'ae__type': 'cvae'}",,,,,,19
40996,282.4743214448293,53.45753424082794,0.22406888008117676,0.005777781371659254,0.45,cae,"{'ae__latent_dim': 0.45, 'ae__type': 'cae'}",0.8854461301105683,0.8882269746710667,0.8901127158959413,0.8879286068925255,0.001916772151563696,1
40996,98.00696595509847,3.7164318797023594,0.25960548718770343,0.018216498791027057,0.45,cvae,"{'ae__latent_dim': 0.45, 'ae__type': 'cvae'}",0.8063341047398646,0.796297089958428,0.8173831054729354,0.8066714333904094,0.00861163381840211,11
40996,270.95941734313965,42.83260694375866,0.24449968338012695,0.002280147697521847,0.5,cae,"{'ae__latent_dim': 0.5, 'ae__type': 'cae'}",0.8840318848032913,0.8868983842626323,0.8902412891612738,0.8870571860757325,0.0025374644998654044,2
40996,112.9721709092458,25.211028370601127,0.27289533615112305,0.026647649965705966,0.5,cvae,"{'ae__latent_dim': 0.5, 'ae__type': 'cvae'}",0.7769778006342676,0.8137830540436292,0.8079543993485622,0.7995717513421531,0.01615256966824676,12
