dataset_id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,filters_base,type,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
40996,96.97267174720764,14.68967364424609,3.6418421268463135,2.4294908209249306,4,cdae,"{'ae__filters_base': 4, 'ae__type': 'cdae'}",0.8686894660152568,0.8721553165045215,0.8725410363005186,0.8711286062734324,0.0017319062406388008,14
40996,225.75245070457458,28.815212279124353,0.19553105036417642,0.01377071410944316,4,cae,"{'ae__filters_base': 4, 'ae__type': 'cae'}",0.8703179909145453,0.8735267646680667,0.8723696052800755,0.8720714536208959,0.0013268328352950272,12
40996,129.10845120747885,48.81160976272984,4.597029050191243,3.113874300525258,6,cdae,"{'ae__filters_base': 6, 'ae__type': 'cdae'}",0.8729750578554898,0.8765268075258218,0.8699695709938713,0.8731571454583943,0.0026800752048322827,7
40996,274.06689588228863,26.483375150538688,0.19202661514282227,0.0024450130893168102,6,cae,"{'ae__filters_base': 6, 'ae__type': 'cae'}",0.8721179394874432,0.8719838854840783,0.875069643852055,0.8730571562745255,0.0014240955740954515,9
40996,126.37635493278503,8.724764190389367,5.059714714686076,3.825563876157027,8,cdae,"{'ae__filters_base': 8, 'ae__type': 'cdae'}",0.871432244793006,0.873655337933399,0.8787982685466935,0.8746286170910329,0.003084912826859741,5
40996,308.0293659369151,21.955086537665338,0.19242310523986816,0.001663937469305538,8,cae,"{'ae__filters_base': 8, 'ae__type': 'cae'}",0.8720322276506386,0.871641023443192,0.8742124887498393,0.87262857994789,0.001131322383363909,11
40996,126.73527971903484,33.75569198727837,4.446809530258179,3.1018424615798392,10,cdae,"{'ae__filters_base': 10, 'ae__type': 'cdae'}",0.8743035913259621,0.874469635280504,0.8769982428320404,0.8752571564795022,0.0012329987601929749,4
40996,236.30942289034525,44.76463293003944,0.2006843090057373,0.0093602276002348,10,cae,"{'ae__filters_base': 10, 'ae__type': 'cae'}",0.8720322276506386,0.8719410277289675,0.8717695967085244,0.8719142840293769,0.0001088735414438754,13
40996,126.45165689786275,33.8167194451163,3.9683972199757895,2.6681827624863503,12,cdae,"{'ae__filters_base': 12, 'ae__type': 'cdae'}",0.8722036513242479,0.8781125444649209,0.8782839754853641,0.8762000570915109,0.00282675213406394,3
40996,204.82525769869486,9.978185273570851,0.19904057184855142,0.0036201957388034803,12,cae,"{'ae__filters_base': 12, 'ae__type': 'cae'}",0.8733607611211108,0.8732267603822912,0.8745982085458364,0.8737285766830795,0.0006173511869498503,6
40996,135.7048032283783,32.2464114552315,4.106183131535848,2.7570006428757563,14,cdae,"{'ae__filters_base': 14, 'ae__type': 'cdae'}",0.8788891745950116,0.8782839754853641,0.8785839797711396,0.8785857099505051,0.0002470745308876299,2
40996,198.07819199562073,43.42726965495167,0.20529095331827799,0.01192101661702879,14,cae,"{'ae__filters_base': 14, 'ae__type': 'cae'}",0.8724179309162595,0.8712981614023058,0.8755839369133844,0.8731000097439833,0.0018149181025163147,8
40996,119.21020062764485,42.33711754634274,3.8703290621439614,2.5928203447379192,16,cdae,"{'ae__filters_base': 16, 'ae__type': 'cdae'}",0.8767035227564927,0.8780268289546993,0.881926884669781,0.8788857454603244,0.0022172325982365276,1
40996,233.0957873662313,42.75204229756368,0.20814387003580728,0.002780617578052403,16,cae,"{'ae__filters_base': 16, 'ae__type': 'cae'}",0.8718608039770293,0.8729696138516264,0.873055329361848,0.8726285823968345,0.0005440279181636427,10
