transformer,clf,44,1492,40668,40996
AE,LogisticRegression,0.0761820818874779,0.12560643465482405,0.4228200715971087,0.5699560702476011
AE,DecisionTreeClassifier,0.07321839157559244,0.05929874960301479,0.21886011077834355,0.3429856476309609
AE,GaussianNB,0.10643879481848244,0.09168205892646407,0.32473189580118383,0.7675709743487632
AE,LinearSVC,0.07365485888297528,0.07460875343815092,0.3162773234484233,0.5973058955946718
None,LogisticRegression,0.12378990538874712,0.13067180067614373,0.3191190090142991,0.5086234493955112
None,DecisionTreeClassifier,0.014279491959899832,1.0,0.6603022844802678,0.032312140512919106
None,GaussianNB,0.04238958184137531,0.07478537564478872,0.03007152928537724,0.005727312164566309
None,LinearSVC,0.1089129816858923,0.057785273058717536,0.3407086777198542,0.34581575686679217
DAE,LogisticRegression,0.08605492954709132,0.13755940770779027,0.2814084691212,0.7605440532459109
DAE,DecisionTreeClassifier,0.09560511695103363,0.056290254771342786,0.22515365863098985,0.4547244339548029
DAE,GaussianNB,0.10114889176791443,0.10100012921709836,0.5752515810887459,1.12424426620293
DAE,LinearSVC,0.08020417499915289,0.10731334736403747,0.398472988390899,0.7134237997849592
SAE,LogisticRegression,0.08220355149389925,0.11331539085519082,0.07143041931246573,0.6971821557935645
SAE,DecisionTreeClassifier,0.06516121625072778,0.04385747320617225,0.2072953443129073,0.3531758928953357
SAE,GaussianNB,0.08706293798596987,0.06633469370010248,0.1568010963723461,0.7179587227279435
SAE,LinearSVC,0.07122266575303565,0.08414150459403684,0.15706070094132082,0.6387015579626023
